price,year,manufacturer,model,condition,fuel,odometer,transmission,paint_color
7450,2010,chevrolet,impala,excellent,gas,745555,automatic,blue
7450,2010,chevrolet,impala,excellent,gas,745555,automatic,blue
20000,2014,ram,1500,excellent,gas,723004,automatic,silver
2100,2007,ford,taurus,fair,gas,720415,automatic,grey
10500,2012,ford,e250 cargo van,excellent,gas,715790,automatic,white
55000,2017,volvo,vnl 670,like new,diesel,698234,automatic,grey
18000,2013,mercedes-benz,benz sprinter 2500,good,diesel,695918,automatic,grey
7000,1971,volkswagen,squareback,good,gas,666666,manual,black
36500,2016,bmw,m2,good,gas,650000,manual,black
3700,1998,toyota,tacoma long bed sr5,fair,gas,617000,manual,white
9500,1979,chevrolet,k10,good,gas,583120,automatic,blue
1200,1964,chevrolet,corvan,fair,gas,555555,manual,blue
11999,2006,ford,super duty f-350 drw,excellent,diesel,537730,automatic,white
8000,2013,ford,taurus police interceptor,good,gas,533932,automatic,white
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
6900,2011,ford,escape,excellent,gas,525820,automatic,grey
39999,2016,volvo,vnl 670,excellent,diesel,523321,manual,red
10000,1989,dodge,w250 cummins,good,diesel,500000,automatic,blue
1250,2006,mercedes-benz,c230 kompressor,good,gas,500000,other,silver
5400,1987,chevrolet,12’ flatbed atruck,good,gas,487389,automatic,white
5400,1987,chevrolet,flatbed truck,good,gas,487389,automatic,white
5500,2000,ford,f350,good,diesel,485000,automatic,white
1000,1990,jeep,cherokee,fair,gas,480000,manual,grey
25000,2007,nissan,ud 2000,good,diesel,475000,automatic,white
33700,2008,ford,f-650,good,diesel,456638,automatic,white
33700,2008,ford,f650,good,diesel,456638,automatic,custom
39999,2016,volvo,vnl 670,excellent,diesel,452812,manual,red
12900,2007,gmc,sierra 1500,good,gas,450000,automatic,grey
6700,1996,ford,f250,fair,diesel,450000,automatic,white
6500,2001,ram,2500,good,diesel,450000,automatic,white
5900,2005,gmc,sierra 1500,good,gas,450000,automatic,white
3000,1995,ram,3500 van,good,gas,445172,automatic,white
2000,2013,volvo,vnl64t670,excellent,diesel,442916,manual,white
8000,2005,ford,f-250 super duty king ranch,fair,diesel,435000,automatic,white
8950,1998,ram,3500,good,diesel,430000,automatic,silver
6750,2004,ford,f350 dually,good,gas,427657,automatic,white
8500,1999,ford,f-250 super duty,excellent,diesel,427000,automatic,white
6000,1972,toyota,landcruiser,good,gas,420690,automatic,black
2000,1998,mercedes-benz,e320,good,gas,414000,manual,white
25450,1969,lincoln,continental,like new,gas,400000,automatic,black
9988,2004,chevrolet,silverado 2500hd,good,diesel,400000,automatic,white
8500,2012,chevrolet,tahoe z71,good,gas,400000,automatic,white
6995,2005,dodge,sprinter 2500,good,diesel,399198,automatic,white
13500,2017,ram,promaster 3500,good,gas,398000,automatic,white
3500,1964,chevrolet,c20,fair,gas,397995,manual,blue
17000,2014,ram,5500,good,diesel,390000,automatic,white
3000,2008,nissan,armada,good,gas,390000,automatic,green
3495,1997,gmc,sonoms sls,fair,gas,387310,automatic,white
2500,2006,honda,accord ex,good,gas,382672,automatic,red
10000,1983,lincoln,mark vi,excellent,gas,380546,automatic,blue
7900,2001,toyota,tundra,excellent,gas,380000,automatic,white
3500,2005,dodge,sprinter cargo van,fair,diesel,380000,automatic,white
2900,1999,lexus,gs400,good,gas,378000,automatic,white
8500,2005,ford,f450,good,hybrid,376000,automatic,white
4999,1999,ford,f350 crew cab,good,gas,375400,automatic,black
14995,2005,chevrolet,silverado,excellent,gas,372565,automatic,black
5300,2002,ford,f-550,like new,diesel,370123,automatic,white
20000,1999,ford,f250,excellent,diesel,370000,automatic,white
11000,2002,gmc,sierra 2500hd,good,diesel,370000,automatic,white
6000,1996,toyota,landcruiser fjz,good,gas,370000,automatic,black
18000,2009,ram,2500 slt,good,diesel,367245,automatic,red
1500,1999,subaru,outback,fair,gas,366356,manual,white
4700,2007,chevrolet,commercial box truck,good,gas,366086,automatic,white
6500,2006,ford,f-150 king ranch,good,gas,362000,automatic,orange
1000,2004,toyota,camry le,fair,gas,361000,automatic,brown
13995,2007,gmc,sierra ext2500,good,gas,360483,automatic,silver
14995,1997,toyota,land cruiser,good,gas,360000,automatic,black
4000,1997,chevrolet,tahoe,good,gas,360000,automatic,red
3800,2006,cadillac,escalade esv,good,gas,360000,automatic,blue
2500,2003,honda,accord,fair,gas,360000,automatic,blue
2500,2003,honda,accord,fair,gas,360000,automatic,blue
7500,2005,ford,f-250,good,diesel,359536,automatic,black
5950,2005,ford,e350 12-passenger van,excellent,gas,358135,automatic,white
4995,2005,toyota,tundra,good,gas,356000,automatic,white
16500,1991,dodge,w250,good,diesel,355795,automatic,black
10500,2006,ford,f250sd,excellent,diesel,353633,automatic,white
10500,2006,ford,f250sd,excellent,diesel,353633,automatic,white
14500,1997,ford,f250,good,diesel,352722,manual,blue
2800,1998,chevrolet,silverado,fair,gas,352000,automatic,brown
44000,1986,jeep,cj7,excellent,gas,350000,automatic,brown
19500,2006,chevrolet,silverado 2500 lt,excellent,diesel,350000,automatic,white
10900,2003,ram,3500,good,diesel,350000,automatic,red
10900,2003,ram,3500,good,diesel,350000,automatic,red
