price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,paint_color
33590,2014,gmc,sierra 1500 crew cab slt,good,8 cylinders,gas,57923,other,,pickup,white
22590,2010,chevrolet,silverado 1500,good,8 cylinders,gas,71229,other,,pickup,blue
39590,2020,chevrolet,silverado 1500 crew,good,8 cylinders,gas,19160,other,,pickup,red
30990,2017,toyota,tundra double cab sr,good,8 cylinders,gas,41124,other,,pickup,red
15000,2013,ford,f-150 xlt,excellent,6 cylinders,gas,128000,automatic,rwd,truck,black
27990,2012,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696,other,4wd,pickup,black
34590,2016,chevrolet,silverado 1500 double,good,6 cylinders,gas,29499,other,4wd,pickup,silver
35000,2019,toyota,tacoma,excellent,6 cylinders,gas,43000,automatic,4wd,truck,grey
29990,2016,chevrolet,colorado extended cab,good,6 cylinders,gas,17302,other,4wd,pickup,red
38590,2011,chevrolet,corvette grand sport,good,8 cylinders,gas,30237,other,rwd,other,red
4500,1992,jeep,cherokee,excellent,6 cylinders,gas,192000,automatic,4wd,,
32990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,30041,other,4wd,other,silver
24590,2017,chevrolet,silverado 1500 regular,good,6 cylinders,gas,40784,other,,pickup,white
30990,2016,chevrolet,colorado crew cab z71,good,,other,34940,other,4wd,pickup,blue
27990,2014,toyota,tacoma access cab pickup,good,,other,17805,other,,pickup,red
37990,2016,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,9704,other,rwd,coupe,red
33590,2014,toyota,tundra crewmax sr5 pickup,good,,other,55251,other,,pickup,red
30990,2019,ford,ranger supercrew xl pickup,good,,other,1834,other,,pickup,black
27990,2018,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,37332,other,4wd,pickup,silver
34590,2018,ford,f150 super cab xl pickup 4d,good,6 cylinders,gas,20856,other,,pickup,white
30590,2016,toyota,tacoma double cab sr5,good,,other,30176,other,,pickup,red
32990,2020,jeep,wrangler sport suv 2d,good,,gas,20581,other,4wd,SUV,silver
38990,2020,ford,f150 supercrew cab xlt,good,6 cylinders,gas,12231,other,,pickup,
22590,2017,ram,1500 regular cab tradesman,good,8 cylinders,gas,39508,other,,pickup,white
31590,2020,mazda,mx-5 miata club,good,,gas,2195,other,rwd,other,
27990,2020,ford,ranger supercab xl pickup,good,,gas,10688,other,,pickup,white
31590,2019,cadillac,xt4 sport suv 4d,good,,other,12102,other,fwd,hatchback,black
19900,2004,ford,f250 super duty,good,8 cylinders,diesel,88000,automatic,4wd,pickup,blue
16590,2016,jeep,renegade sport suv 4d,good,,gas,35835,other,4wd,other,red
26990,2016,ford,f150 regular cab xl pickup,good,6 cylinders,gas,14230,other,,pickup,black
25590,2015,gmc,sierra 1500 regular cab,good,6 cylinders,other,35290,other,,pickup,white
14000,2012,honda,odyssey,excellent,6 cylinders,gas,95000,automatic,fwd,mini-van,silver
28590,2018,ram,1500 quad cab express pickup,good,6 cylinders,other,30047,other,,pickup,white
24590,2013,gmc,sierra 1500 extended cab slt,good,8 cylinders,other,80318,other,,pickup,
25990,2019,ram,1500 classic regular cab,good,8 cylinders,gas,12302,other,,pickup,white
34990,2018,ford,mustang gt premium,good,8 cylinders,gas,18650,other,rwd,other,black
27990,2017,chevrolet,colorado extended cab,good,,gas,22120,other,,pickup,
22500,2001,ford,f450,good,8 cylinders,diesel,144700,manual,rwd,truck,white
32990,2019,chevrolet,silverado 1500 ld,good,,other,6897,other,,pickup,black
31990,2013,toyota,tundra double cab pickup,good,8 cylinders,gas,55068,other,4wd,pickup,
29990,2014,chevrolet,silverado 1500 double,good,8 cylinders,gas,26129,other,4wd,pickup,brown
23990,2016,chevrolet,silverado 1500 regular,good,6 cylinders,gas,41568,other,,pickup,white
22990,2012,toyota,tacoma access cab pickup,good,,gas,37725,other,,pickup,white
26990,2014,chevrolet,silverado 1500 crew,good,6 cylinders,gas,63129,automatic,,pickup,black
33990,2017,jeep,wrangler unlimited sahara,good,6 cylinders,other,34152,other,4wd,SUV,white
15000,2017,dodge,charger rt 4dr sedan,excellent,8 cylinders,gas,90000,automatic,rwd,sedan,grey
26590,2020,honda,civic si coupe 2d,good,,gas,9954,other,fwd,coupe,silver
18590,2018,honda,civic lx sedan 4d,good,,gas,28942,other,fwd,sedan,white
29590,2017,ford,expedition xlt sport,good,6 cylinders,gas,70760,other,4wd,SUV,blue
21590,2018,honda,civic ex sedan 4d,good,,gas,7885,other,fwd,sedan,
22590,2013,ford,f150 super cab xl pickup 4d,good,6 cylinders,other,14169,other,,pickup,silver
33990,2020,jeep,wrangler sport suv 2d,good,6 cylinders,gas,9859,other,4wd,other,
29990,2012,toyota,tacoma double cab pickup,good,6 cylinders,gas,43182,other,4wd,pickup,white
37590,2019,ford,f150 supercrew cab xl,good,6 cylinders,gas,8663,other,,pickup,
25990,2015,lexus,nx 300h sport utility 4d,good,,other,55783,other,,hatchback,white
32990,2018,jaguar,e-pace p250 s sport,good,,other,26685,other,,other,white
28990,2020,buick,encore gx essence sport,good,,gas,21,other,,other,white
34990,2020,lexus,nx 300 sport utility 4d,good,,gas,1722,other,fwd,hatchback,black
3000,2004,chrysler,town & country,good,6 cylinders,gas,176144,automatic,fwd,mini-van,silver
22590,2016,volvo,s60 t5 cross country,good,,gas,42755,other,,sedan,
36990,2019,volvo,s60 t6 inscription sedan,good,,gas,8141,other,,sedan,white
31990,2020,volvo,s60 t5 momentum sedan 4d,good,,gas,16594,other,fwd,sedan,
28590,2019,volvo,s60 t5 momentum sedan 4d,good,,gas,18531,other,fwd,sedan,black
31990,2018,audi,q5 premium sport utility 4d,good,,gas,19179,other,,other,
19990,2015,infiniti,qx60 3.5 sport utility,good,,other,96003,other,,SUV,silver
29590,2017,lincoln,continental select sedan,good,6 cylinders,gas,35320,other,,sedan,black
29990,2018,alfa-romeo,romeo stelvio ti sport,good,,other,26978,other,,hatchback,
2100,2006,subaru,impreza,fair,4 cylinders,gas,97000,automatic,,hatchback,
80,2004,honda,,excellent,6 cylinders,gas,94020,automatic,,,
15990,2016,,Scion iM Hatchback 4D,good,,gas,29652,other,fwd,hatchback,blue
20590,2013,acura,mdx sport utility 4d,good,6 cylinders,gas,77087,other,,other,silver
29590,2018,audi,a6 2.0t premium sedan 4d,good,,gas,13035,other,fwd,sedan,
16590,2015,hyundai,sonata sport sedan 4d,good,,gas,26655,other,fwd,sedan,white
12990,1968,volvo,,,,gas,99999,manual,,,
33990,2017,ram,1500 crew cab tradesman,good,8 cylinders,gas,17033,other,4wd,pickup,blue
36590,2019,gmc,sierra 1500 limited double,good,8 cylinders,gas,14222,other,4wd,pickup,blue
29590,2013,gmc,sierra 1500 extended cab slt,good,8 cylinders,gas,37888,other,,pickup,silver
40590,2019,ford,f250 super duty regular cab,good,8 cylinders,other,9313,other,4wd,pickup,white
33990,2018,jeep,wrangler unlimited willys,good,6 cylinders,gas,34636,other,4wd,other,white
43990,2019,jeep,wrangler unlimited sahara,good,,gas,4362,other,4wd,SUV,black
38990,2017,jeep,wrangler unlimited rubicon,good,6 cylinders,gas,20676,other,4wd,other,red
39590,2018,jeep,wrangler unlimited all new,good,6 cylinders,gas,21893,other,4wd,SUV,silver
9500,2003,chrysler,town & country,excellent,6 cylinders,gas,30376,automatic,fwd,mini-van,blue
28590,2018,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,20736,other,fwd,SUV,white
16590,2013,lincoln,mkz sedan 4d,good,,gas,61087,other,fwd,sedan,red
28990,2017,gmc,acadia slt-1 sport utility,good,6 cylinders,gas,18041,other,fwd,SUV,
20590,2017,lincoln,mkz premiere sedan 4d,good,,gas,36436,other,fwd,sedan,
26990,2015,lexus,nx 200t sport utility 4d,good,,gas,29738,other,fwd,hatchback,red
26990,2016,lexus,nx 200t sport utility 4d,good,,gas,31363,other,fwd,hatchback,white
22590,2020,buick,encore gx select sport,good,,other,5144,other,,SUV,red
35990,2018,jaguar,e-pace p250 se sport,good,,gas,8490,other,,other,black
17500,2008,toyota,fj cruiser,good,6 cylinders,gas,201300,manual,4wd,offroad,black
6000,2007,mercedes-benz,e320 cdi,good,6 cylinders,diesel,124000,automatic,rwd,sedan,blue
25990,2018,volvo,s60 t5 inscription sedan,good,,diesel,22834,other,,sedan,
6800,2005,,blue bird bus,excellent,6 cylinders,diesel,180000,automatic,rwd,bus,yellow
36590,2019,volvo,s60 t6 r-design sedan 4d,good,,gas,7618,other,,sedan,white
35990,2019,volvo,s60 t6 r-design sedan 4d,good,,other,15567,other,,sedan,red
33590,2019,volvo,s60 t6 r-design sedan 4d,good,,gas,10742,other,,sedan,silver
38990,2020,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,5279,other,fwd,other,black
33990,2018,alfa-romeo,romeo stelvio ti sport suv,good,,gas,23753,other,,hatchback,
27990,2017,lincoln,continental select sedan,good,6 cylinders,gas,19492,automatic,,sedan,
28590,2018,audi,q5 premium sport utility 4d,good,,gas,31033,other,,SUV,silver
18590,2018,hyundai,sonata sel sedan 4d,good,,gas,22075,other,fwd,sedan,white
29990,2018,audi,a6 2.0t premium plus sedan,good,,other,24996,automatic,,sedan,silver
14990,2016,,Scion iM Hatchback 4D,good,,gas,65203,other,fwd,hatchback,red
39990,2020,acura,mdx sh-awd sport utility,good,6 cylinders,gas,1237,other,,other,white
2500,1966,,1966 C-30 1 ton,good,6 cylinders,gas,47000,manual,rwd,pickup,brown
4000,2006,jeep,grand cherokee laredo,good,6 cylinders,gas,281000,automatic,rwd,SUV,black
32990,2019,jeep,wrangler sport suv 2d,good,6 cylinders,other,1423,other,4wd,SUV,yellow
27590,2012,jeep,wrangler unlimited sport,good,6 cylinders,gas,52172,other,4wd,SUV,black
18590,2017,toyota,camry le sedan 4d,good,,gas,30223,other,fwd,sedan,silver
33590,2017,ram,1500 crew cab laramie pickup,good,,other,45464,other,,pickup,red
40990,2017,jeep,wrangler unlimited rubicon,good,,other,30092,other,4wd,other,black
33590,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,37919,other,4wd,SUV,black
31590,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,35391,other,4wd,SUV,black
30990,2017,jeep,wrangler unlimited sport,good,6 cylinders,gas,43039,other,4wd,SUV,silver
14590,2012,bmw,1 series 128i coupe 2d,good,,other,80465,other,,coupe,black
20590,2018,chrysler,300 limited sedan 4d,good,6 cylinders,gas,71021,other,rwd,sedan,black
19990,2020,mitsubishi,outlander sport es,good,,other,11103,other,,hatchback,orange
10990,2013,nissan,sentra s sedan 4d,good,,gas,81557,other,fwd,sedan,red
26990,2018,gmc,acadia sle-2 sport utility,good,6 cylinders,gas,26514,other,fwd,SUV,
36590,2020,gmc,acadia denali sport utility,good,6 cylinders,gas,33026,other,,SUV,black
30990,2020,gmc,acadia slt sport utility 4d,good,6 cylinders,gas,35200,other,,SUV,white
24590,2018,lincoln,mkz select sedan 4d,good,,gas,16081,automatic,fwd,sedan,white
8990,2013,,smart fortwo Passion Hatchback,good,,gas,59072,automatic,rwd,coupe,silver
23990,2015,lexus,nx 200t sport utility 4d,good,,other,48462,other,,hatchback,silver
25590,2020,buick,encore gx select sport,good,,gas,1113,automatic,fwd,SUV,red
52990,2020,jaguar,e-pace p300 r-dynamic se,good,,gas,79,other,,other,white
19000,2017,subaru,forester,like new,4 cylinders,gas,22700,automatic,,SUV,red
28000,2018,acura,tlx,excellent,,gas,55000,automatic,fwd,sedan,white
17590,2015,volvo,s60 t5 premier sedan 4d,good,,gas,63512,automatic,,sedan,blue
36590,2020,volvo,s60 t6 r-design sedan 4d,good,,gas,18506,other,,sedan,blue
35990,2020,volvo,s60 t6 inscription sedan,good,,other,11878,other,,sedan,blue
38590,2019,volvo,s60 t8 r-design sedan 4d,good,,gas,14054,automatic,,sedan,black
29590,2018,lincoln,continental select sedan,good,6 cylinders,other,33047,automatic,,sedan,white
32590,2018,alfa-romeo,romeo stelvio sport suv 4d,good,,other,14863,other,,hatchback,blue
27590,2018,infiniti,qx60 3.5 sport utility,good,6 cylinders,gas,41119,automatic,,SUV,blue
38990,2020,audi,q5 45 tfsi premium plus,good,,gas,19067,other,,SUV,white
21950,2012,toyota,tacoma 4x4,excellent,4 cylinders,gas,143060,manual,4wd,truck,silver
13950,2011,toyota,tacoma,good,4 cylinders,gas,151060,automatic,rwd,truck,silver
5900,2001,,F-350,,8 cylinders,diesel,200000,automatic,rwd,,
12950,2005,bmw,z4,excellent,6 cylinders,gas,69586,automatic,rwd,convertible,white
18950,2010,ford,f150 lariat supercrew 4x4,good,8 cylinders,gas,151403,automatic,4wd,pickup,black
6995,2011,volkswagen,jetta sel,excellent,5 cylinders,gas,172752,automatic,fwd,sedan,black
12500,2008,ford,ranger xlt,excellent,6 cylinders,gas,141345,automatic,rwd,truck,grey
16950,2007,toyota,tacoma double cab,good,6 cylinders,gas,156792,automatic,rwd,truck,white
22950,2014,ford,f150 supercrew cab xlt,excellent,8 cylinders,gas,166380,automatic,4wd,truck,black
12950,2011,honda,crv ex,excellent,4 cylinders,gas,87994,automatic,fwd,SUV,silver
12950,2007,mazda,mx-5 miata touring,excellent,4 cylinders,gas,90610,automatic,rwd,convertible,black
13950,2011,mazda,mx-5 miata grand touring,excellent,4 cylinders,gas,138235,automatic,rwd,convertible,red
19950,2009,porsche,boxster,excellent,6 cylinders,gas,80190,automatic,rwd,convertible,red
13950,2008,mazda,miata,excellent,4 cylinders,gas,86650,manual,rwd,convertible,grey
