price,year,manufacturer,model,condition,fuel,odometer,transmission,paint_color
33590,2014,gmc,sierra 1500 crew cab slt,good,gas,57923,other,white
22590,2010,chevrolet,silverado 1500,good,gas,71229,other,blue
39590,2020,chevrolet,silverado 1500 crew,good,gas,19160,other,red
30990,2017,toyota,tundra double cab sr,good,gas,41124,other,red
15000,2013,ford,f-150 xlt,excellent,gas,128000,automatic,black
27990,2012,gmc,sierra 2500 hd extended cab,good,gas,68696,other,black
34590,2016,chevrolet,silverado 1500 double,good,gas,29499,other,silver
35000,2019,toyota,tacoma,excellent,gas,c,automatic,grey
29990,2016,chevrolet,colorado extended cab,good,gas,17302,other,red
38590,2011,chevrolet,corvette grand sport,good,gas,30237,other,red
4500,1992,jeep,cherokee,excellent,gas,192000,automatic,
32990,2017,jeep,wrangler unlimited sport,good,gas,30041,other,silver
24590,2017,chevrolet,silverado 1500 regular,good,gas,40784,other,white
30990,2016,chevrolet,colorado crew cab z71,good,other,34940,other,blue
27990,2014,toyota,tacoma access cab pickup,good,other,17805,other,red
37990,2016,chevrolet,camaro ss coupe 2d,good,gas,9704,other,red
33590,2014,toyota,tundra crewmax sr5 pickup,good,other,55251,other,red
30990,2019,ford,ranger supercrew xl pickup,good,other,1834,other,black
27990,2018,nissan,frontier crew cab pro-4x,good,gas,37332,other,silver
34590,2018,ford,f150 super cab xl pickup 4d,good,gas,20856,other,white
30590,2016,toyota,tacoma double cab sr5,good,other,30176,other,red
32990,2020,jeep,wrangler sport suv 2d,good,gas,20581,other,silver
38990,2020,ford,f150 supercrew cab xlt,good,gas,12231,other,
22590,2017,ram,1500 regular cab tradesman,good,gas,39508,other,white
31590,2020,mazda,mx-5 miata club,good,gas,2195,other,
27990,2020,ford,ranger supercab xl pickup,good,gas,10688,other,white
31590,2019,cadillac,xt4 sport suv 4d,good,other,12102,other,black
19900,2004,ford,f250 super duty,good,diesel,88000,automatic,blue
16590,2016,jeep,renegade sport suv 4d,good,gas,35835,other,red
26990,2016,ford,f150 regular cab xl pickup,good,gas,14230,other,black
25590,2015,gmc,sierra 1500 regular cab,good,other,35290,other,white
14000,2012,honda,odyssey,excellent,gas,95000,automatic,silver
28590,2018,ram,1500 quad cab express pickup,good,other,30047,other,white
24590,2013,gmc,sierra 1500 extended cab slt,good,other,80318,other,
25990,2019,ram,1500 classic regular cab,good,gas,12302,other,white
34990,2018,ford,mustang gt premium,good,gas,18650,other,black
27990,2017,chevrolet,colorado extended cab,good,gas,22120,other,
22500,2001,ford,f450,good,diesel,144700,manual,white
32990,2019,chevrolet,silverado 1500 ld,good,other,6897,other,black
31990,2013,toyota,tundra double cab pickup,good,gas,55068,other,
29990,2014,chevrolet,silverado 1500 double,good,gas,26129,other,brown
23990,2016,chevrolet,silverado 1500 regular,good,gas,41568,other,white
22990,2012,toyota,tacoma access cab pickup,good,gas,37725,other,white
26990,2014,chevrolet,silverado 1500 crew,good,gas,63129,automatic,black
33990,2017,jeep,wrangler unlimited sahara,good,other,34152,other,white
15000,2017,dodge,charger rt 4dr sedan,excellent,gas,90000,automatic,grey
26590,2020,honda,civic si coupe 2d,good,gas,9954,other,silver
18590,2018,honda,civic lx sedan 4d,good,gas,28942,other,white
29590,2017,ford,expedition xlt sport,good,gas,70760,other,blue
21590,2018,honda,civic ex sedan 4d,good,gas,7885,other,
22590,2013,ford,f150 super cab xl pickup 4d,good,other,14169,other,silver
33990,2020,jeep,wrangler sport suv 2d,good,gas,9859,other,
29990,2012,toyota,tacoma double cab pickup,good,gas,43182,other,white
37590,2019,ford,f150 supercrew cab xl,good,gas,8663,other,
25990,2015,lexus,nx 300h sport utility 4d,good,other,55783,other,white
32990,2018,jaguar,e-pace p250 s sport,good,other,26685,other,white
28990,2020,buick,encore gx essence sport,good,gas,21,other,white
34990,2020,lexus,nx 300 sport utility 4d,good,gas,1722,other,black
3000,2004,chrysler,town & country,good,gas,176144,automatic,silver
22590,2016,volvo,s60 t5 cross country,good,gas,42755,other,
36990,2019,volvo,s60 t6 inscription sedan,good,gas,8141,other,white
31990,2020,volvo,s60 t5 momentum sedan 4d,good,gas,16594,other,
28590,2019,volvo,s60 t5 momentum sedan 4d,good,gas,18531,other,black
31990,2018,audi,q5 premium sport utility 4d,good,gas,19179,other,
19990,2015,infiniti,qx60 3.5 sport utility,good,other,96003,other,silver
29590,2017,lincoln,continental select sedan,good,gas,35320,other,black
29990,2018,alfa-romeo,romeo stelvio ti sport,good,other,26978,other,
2100,2006,subaru,impreza,fair,gas,97000,automatic,
80,2004,honda,,excellent,gas,94020,automatic,
15990,2016,,Scion iM Hatchback 4D,good,gas,29652,other,blue
20590,2013,acura,mdx sport utility 4d,good,gas,77087,other,silver
29590,2018,audi,a6 2.0t premium sedan 4d,good,gas,13035,other,
16590,2015,hyundai,sonata sport sedan 4d,good,gas,26655,other,white
12990,1968,volvo,,,gas,99999,manual,
33990,2017,ram,1500 crew cab tradesman,good,gas,17033,other,blue
36590,2019,gmc,sierra 1500 limited double,good,gas,14222,other,blue
29590,2013,gmc,sierra 1500 extended cab slt,good,gas,37888,other,silver
40590,2019,ford,f250 super duty regular cab,good,other,9313,other,white
33990,2018,jeep,wrangler unlimited willys,good,gas,34636,other,white
43990,2019,jeep,wrangler unlimited sahara,good,gas,4362,other,black
38990,2017,jeep,wrangler unlimited rubicon,good,gas,20676,other,red
39590,2018,jeep,wrangler unlimited all new,good,gas,21893,other,silver
9500,2003,chrysler,town & country,excellent,gas,30376,automatic,blue
28590,2018,gmc,acadia sle-2 sport utility,good,gas,20736,other,white
16590,2013,lincoln,mkz sedan 4d,good,gas,61087,other,red
28990,2017,gmc,acadia slt-1 sport utility,good,gas,18041,other,
20590,2017,lincoln,mkz premiere sedan 4d,good,gas,36436,other,
26990,2015,lexus,nx 200t sport utility 4d,good,gas,29738,other,red
26990,2016,lexus,nx 200t sport utility 4d,good,gas,31363,other,white
22590,2020,buick,encore gx select sport,good,other,5144,other,red
35990,2018,jaguar,e-pace p250 se sport,good,gas,8490,other,black
17500,2008,toyota,fj cruiser,good,gas,201300,manual,black
6000,2007,mercedes-benz,e320 cdi,good,diesel,124000,automatic,blue
25990,2018,volvo,s60 t5 inscription sedan,good,diesel,22834,other,
6800,2005,,blue bird bus,excellent,diesel,180000,automatic,yellow
36590,2019,volvo,s60 t6 r-design sedan 4d,good,gas,7618,other,white
35990,2019,volvo,s60 t6 r-design sedan 4d,good,other,15567,other,red
33590,2019,volvo,s60 t6 r-design sedan 4d,good,gas,10742,other,silver
38990,2020,infiniti,qx60 luxe sport utility,good,gas,5279,other,black
33990,2018,alfa-romeo,romeo stelvio ti sport suv,good,gas,23753,other,
27990,2017,lincoln,continental select sedan,good,gas,19492,automatic,
28590,2018,audi,q5 premium sport utility 4d,good,gas,31033,other,silver
18590,2018,hyundai,sonata sel sedan 4d,good,gas,22075,other,white
29990,2018,audi,a6 2.0t premium plus sedan,good,other,24996,automatic,silver
14990,2016,,Scion iM Hatchback 4D,good,gas,65203,other,red
39990,2020,acura,mdx sh-awd sport utility,good,gas,1237,other,white
2500,1966,,1966 C-30 1 ton,good,gas,47000,manual,brown
4000,2006,jeep,grand cherokee laredo,good,gas,281000,automatic,black
32990,2019,jeep,wrangler sport suv 2d,good,other,1423,other,yellow
27590,2012,jeep,wrangler unlimited sport,good,gas,52172,other,black
18590,2017,toyota,camry le sedan 4d,good,gas,30223,other,silver
33590,2017,ram,1500 crew cab laramie pickup,good,other,45464,other,red
40990,2017,jeep,wrangler unlimited rubicon,good,other,30092,other,black
33590,2017,jeep,wrangler unlimited sport,good,gas,37919,other,black
31590,2017,jeep,wrangler unlimited sport,good,gas,35391,other,black
30990,2017,jeep,wrangler unlimited sport,good,gas,43039,other,silver
14590,2012,bmw,1 series 128i coupe 2d,good,other,80465,other,black
